"id","rpm","motor_power","noise_db","outlet_pressure_bar","air_flow","outlet_temp","wpump_outlet_press","water_flow","gaccz","haccz","bearings","wpump","radiator","exvalve"
"1","499","1405.842858","40.84051681","1.000","308.2898788","78.55471462","2.960632487","59.0850591","2.649800567","2.962483674","Ok","Ok","Clean","Clean"
"2","513","1457.370092","40.48422638","1.081","307.833736","76.90282202","2.53671098","59.16193851","2.669423257","2.938134528","Ok","Ok","Clean","Clean"
"3","495","1582.249959","40.91857209","1.369","307.3775932","77.54702101","2.112789473","59.04193931","2.772008774","2.991877568","Ok","Ok","Clean","Clean"
"4","480","1712.46682","40.45095335","1.691","306.9752484","80.059949","2.087534383","59.03717646","2.876056133","3.09615821","Ok","Ok","Clean","Clean"
"5","498","1766.03517","41.23373887","1.731","306.8321319","79.13042388","2.33887668","59.16415361","2.84945089","3.059416549","Ok","Ok","Clean","Clean"
"6","487","1843.928137","41.10906336","1.936","306.5320197","83.39203234","1.985778426","59.08675164","2.946855512","3.117988779","Ok","Ok","Clean","Clean"
"7","503","1885.584836","41.5159829","1.949","306.4273775","84.00256718","2.43876035","59.00052942","2.923143957","3.105228737","Ok","Ok","Clean","Clean"
"8","489","1877.196074","41.27132984","1.985","306.0043583","82.95671672","2.626949563","58.94863","2.978854391","3.134726445","Ok","Ok","Clean","Clean"
"9","481","1957.281581","40.490259","2.189","305.6275316","83.63655306","2.267803673","59.05579361","3.084228753","3.207706609","Ok","Ok","Clean","Clean"
"10","481","1960.768488","41.72619525","2.192","305.3540754","82.37408824","2.095710322","59.08607111","3.084229565","3.163669822","Ok","Ok","Clean","Clean"
"11","514","2091.282562","41.48659372","2.311","305.1976036","82.62047135","1.933256319","59.03467021","3.085689748","3.131063335","Ok","Ok","Clean","Clean"
"12","487","2154.268352","41.46083488","2.563","305.1298732","83.50940592","2.664718851","58.92287107","3.261346735","3.243404342","Ok","Ok","Clean","Clean"
"13","491","2182.219644","40.42433981","2.605","304.7710844","85.66937794","2.368830654","59.04561483","3.244431871","3.27896931","Ok","Ok","Clean","Clean"
"14","493","2247.83226","40.50476577","2.728","304.2877791","84.94484277","2.596848928","58.85991101","3.320801836","3.277867436","Ok","Ok","Clean","Clean"
"15","500","2287.264572","41.39614713","2.768","304.2291952","88.65057425","2.369047193","59.01502304","3.308473125","3.277306919","Ok","Ok","Clean","Clean"
"16","520","2365.234481","42.08726059","2.812","303.7649245","87.46029404","2.502474936","58.98663649","3.28666923","3.268054235","Ok","Ok","Clean","Clean"
"17","517","2528.387645","42.87469042","3.138","303.3753031","88.17564774","2.522190889","58.95741663","3.495815952","3.355889682","Ok","Ok","Clean","Clean"
"18","497","2482.991985","39.99023955","3.180","303.3683474","90.02343237","1.894218111","58.84694333","3.550857244","3.401603082","Ok","Ok","Clean","Clean"
"19","499","2517.822349","42.70558327","3.232","303.0956054","87.72808043","2.527804918","59.01194209","3.591241558","3.453336578","Ok","Ok","Clean","Clean"
"20","515","2639.245137","40.88429156","3.373","302.6813884","89.66963092","2.184558455","58.81630375","3.638500404","3.444203756","Ok","Ok","Clean","Clean"
"21","487","2600.936031","40.44102067","3.489","302.1964911","88.32995171","2.098385701","58.89019213","3.827721296","3.523658324","Ok","Ok","Clean","Clean"
"22","484","2748.491491","42.33501528","3.805","302.0742894","89.60860107","2.196005409","58.85780764","4.065153551","3.626287268","Ok","Ok","Clean","Clean"
"23","499","2907.767162","41.51596648","4.011","302.0666196","93.72420066","2.755825098","58.82622731","4.171598927","3.733592718","Ok","Ok","Clean","Clean"
"24","519","3057.346593","41.59282223","4.150","301.9805614","94.5375794","1.920876643","58.78560602","4.241850568","3.770634186","Ok","Ok","Clean","Clean"
"25","504","3073.175475","41.51096013","4.298","301.5731622","96.55791787","2.704442458","58.9088747","4.409375446","3.830065106","Ok","Ok","Clean","Clean"
"26","511","3102.176151","41.93102036","4.305","301.3628983","93.55442514","2.101107992","58.8282938","4.397830003","3.826027791","Ok","Ok","Clean","Clean"
"27","486","3068.064062","42.232812","4.458","300.9608802","96.63610435","2.322481562","58.89672972","4.567745289","3.94275314","Ok","Ok","Clean","Clean"
"28","519","3343.949716","41.18664836","4.702","300.4729143","94.59973297","2.415553862","58.66167729","4.718562769","4.01272192","Ok","Ok","Clean","Clean"
"29","499","3295.133032","43.83011576","4.797","300.4365268","97.88811204","2.286001522","58.79419745","4.872878231","4.071306233","Ok","Ok","Clean","Clean"
"30","507","3353.547507","40.69555063","4.826","300.3715821","95.67248974","2.514491436","58.83229933","4.867013522","4.055901279","Ok","Ok","Clean","Clean"
"31","519","3540.245236","40.84450665","5.081","300.1869903","96.98733285","2.992079101","58.68404393","5.104938283","4.1922061","Ok","Ok","Clean","Clean"
"32","506","3558.795547","42.69870423","5.249","300.0782564","100.7936137","2.979565586","58.77037679","5.306935587","4.26182695","Ok","Ok","Clean","Clean"
"33","503","3653.238888","41.07749961","5.468","299.8205677","98.10394676","2.13216218","58.60691067","5.557678894","4.386088807","Ok","Ok","Clean","Clean"
"34","506","3803.815172","45.41681996","5.727","299.4595744","101.5377561","2.33765646","58.62685746","5.807326405","4.53547551","Ok","Ok","Clean","Clean"
"35","507","3923.399868","44.26782869","5.956","298.9997834","104.428863","2.298052456","58.58900281","6.073934519","4.685531272","Ok","Ok","Clean","Clean"
"36","489","3918.351115","41.37911301","6.167","298.9885158","105.3707421","2.279407171","58.58030033","6.415838439","4.840691721","Ok","Ok","Clean","Clean"
"37","503","4116.520021","45.30573555","6.390","298.7997214","103.6020847","2.661306624","58.66189867","6.618285915","4.918401624","Ok","Ok","Clean","Clean"
"38","504","4238.49571","44.89159866","6.623","298.4070415","104.3869785","2.347612981","58.70024902","6.919754951","5.066278124","Ok","Ok","Clean","Clean"
"39","511","4300.870611","40.65687955","6.644","298.0196563","106.748408","2.348906829","58.54626762","6.916668009","5.121662361","Ok","Ok","Clean","Clean"
"40","499","4329.087385","42.90707432","6.860","297.8124752","106.8073654","2.127891967","58.62271804","7.273036159","5.276741438","Ok","Ok","Clean","Clean"
"41","500","1402.424603","45.46106943","1.000","308.2705663","78.29331063","2.331081334","59.17499154","2.644748976","2.974438125","Noisy","Ok","Clean","Clean"
"42","490","1501.475814","45.08525152","1.224","307.8161923","78.49505333","2.027859624","59.16735793","2.740433384","2.987535497","Noisy","Ok","Clean","Clean"
"43","513","1555.192258","45.26179296","1.265","307.3618182","80.25111233","1.848367189","59.12537356","2.685401271","2.958030697","Noisy","Ok","Clean","Clean"
"44","517","1648.947124","45.86545502","1.441","307.1537379","79.07601804","2.092669642","59.11480091","2.731061927","2.97495638","Noisy","Ok","Clean","Clean"
"45","508","1785.392642","45.61937368","1.742","306.9943076","80.9530371","2.590182713","59.0970578","2.826248192","3.049938769","Noisy","Ok","Clean","Clean"
"46","505","1811.433133","45.25459693","1.793","306.7937024","82.35559998","1.834533447","59.15423248","2.881100709","3.043294221","Noisy","Ok","Clean","Clean"
"47","482","1834.772987","45.49422966","1.927","306.6280217","83.22880203","2.118598881","59.04793381","2.972801284","3.116817462","Noisy","Ok","Clean","Clean"
"48","517","2002.786974","46.99470361","2.122","306.2327583","85.5351084","1.928328015","59.04497445","2.960965135","3.106915822","Noisy","Ok","Clean","Clean"
"49","498","1984.749272","46.83658925","2.173","306.2281381","85.61756805","2.629424747","59.03701131","3.040958475","3.166770994","Noisy","Ok","Clean","Clean"
"50","489","2112.271255","46.11918029","2.474","305.866147","85.53087871","2.630111514","58.88681088","3.193064938","3.246353131","Noisy","Ok","Clean","Clean"
"51","520","2355.787294","45.22311233","2.797","305.3972768","87.75630553","2.710011","59.05411719","3.324328691","3.276543947","Noisy","Ok","Clean","Clean"
"52","512","2478.221435","46.39245457","3.075","305.3607765","89.7121496","2.65329586","58.97172938","3.498697782","3.36874162","Noisy","Ok","Clean","Clean"
"53","480","2422.023308","45.68509017","3.162","305.0503778","86.51052897","2.517359295","58.90727275","3.616529501","3.453913198","Noisy","Ok","Clean","Clean"
"54","485","2439.42767","45.20030141","3.173","304.6230742","89.82829622","2.411599863","59.01303752","3.619015955","3.430517863","Noisy","Ok","Clean","Clean"
"55","498","2528.641967","47.99860033","3.257","304.1922951","90.52375429","2.616906044","58.99858328","3.640819353","3.450196794","Noisy","Ok","Clean","Clean"
"56","519","2669.077901","47.01835973","3.396","304.1327756","87.80181787","2.309328467","58.99583101","3.679783262","3.47095644","Noisy","Ok","Clean","Clean"
